System_ID,System_Name,Plant,Production_Line,Automation_Type,PLC,SCADA,DCS,Robot_Model,Status,Efficiency,Cycle_Time,Energy_Consumption,Downtime_Minutes,Alarm_Count,Operator_ID,Maintenance_Status,Project_ID,Compliance_Status,Created_Date
SYS0045,Him Automation,Dallas Plant,Packaging Line,Fully Automated,PLC045,WinCC,ABB 800xA,ABB IRB2600,Running,89.91,17.16,1447.12,58,6,OP045,Scheduled,PRJ045,Failed,2025-07-15
SYS0046,Over Automation,Houston Plant,Line C,Fully Automated,PLC046,WinCC,ABB 800xA,KUKA KR10,Running,88.89,37.87,1651.59,192,12,OP046,In Progress,PRJ046,Passed,2024-08-29
SYS0047,Ten Automation,Dallas Plant,Assembly Line,Robotic Cell,PLC047,Ignition,ABB 800xA,KUKA KR10,Running,94.11,26.98,582.14,272,13,OP047,In Progress,PRJ047,Pending,2024-10-22
SYS0048,Late Automation,Dallas Plant,Assembly Line,Robotic Cell,PLC048,FactoryTalk,ABB 800xA,Yaskawa GP25,Stopped,77.53,38.82,1771.17,235,4,OP048,Scheduled,PRJ048,Passed,2025-03-28
SYS0049,Office Automation,Phoenix Plant,Packaging Line,Semi Automated,PLC049,Wonderware,Honeywell Experion,Yaskawa GP25,Maintenance,82.74,17.36,2369.24,142,14,OP049,Completed,PRJ049,Pending,2026-05-14
SYS0050,Doctor Automation,Phoenix Plant,Assembly Line,Robotic Cell,PLC050,Wonderware,Honeywell Experion,FANUC M-20iD,Stopped,95.42,15.46,924.24,132,10,OP050,Scheduled,PRJ050,Failed,2025-01-14
SYS0051,Grow Automation,Houston Plant,Assembly Line,Fully Automated,PLC051,Ignition,ABB 800xA,ABB IRB2600,Stopped,86.73,32.74,1881.22,251,14,OP051,Completed,PRJ051,Passed,2024-11-16
SYS0052,When Automation,Houston Plant,Line B,Semi Automated,PLC052,Ignition,Honeywell Experion,KUKA KR10,Stopped,88.28,20.31,2493.26,281,10,OP052,Scheduled,PRJ052,Failed,2026-03-06
SYS0053,Beyond Automation,Chicago Plant,Line C,Semi Automated,PLC053,FactoryTalk,ABB 800xA,FANUC M-20iD,Idle,82.57,32.29,2401.76,94,6,OP053,Completed,PRJ053,Failed,2025-06-23
SYS0054,Despite Automation,Chicago Plant,Line C,Robotic Cell,PLC054,FactoryTalk,ABB 800xA,ABB IRB2600,Maintenance,80.46,15.38,528.3,273,4,OP054,Scheduled,PRJ054,Passed,2025-12-27
SYS0055,Food Automation,Dallas Plant,Assembly Line,Semi Automated,PLC055,Ignition,Emerson DeltaV,Yaskawa GP25,Running,95.95,27.22,1438.79,225,10,OP055,Completed,PRJ055,Passed,2024-07-25
SYS0056,Treatment Automation,Houston Plant,Line D,Fully Automated,PLC056,WinCC,Honeywell Experion,Yaskawa GP25,Running,88.85,30.59,803.45,288,9,OP056,Completed,PRJ056,Passed,2025-03-17
SYS0057,Per Automation,Dallas Plant,Assembly Line,Semi Automated,PLC057,Ignition,Emerson DeltaV,Yaskawa GP25,Stopped,96.8,18.92,1677.05,219,9,OP057,In Progress,PRJ057,Failed,2026-07-11
SYS0058,Follow Automation,Dallas Plant,Assembly Line,Robotic Cell,PLC058,WinCC,ABB 800xA,ABB IRB2600,Maintenance,90.85,14.71,847.63,38,5,OP058,Completed,PRJ058,Pending,2026-05-01
SYS0059,Despite Automation,Chicago Plant,Packaging Line,Robotic Cell,PLC059,Wonderware,Honeywell Experion,FANUC M-20iD,Idle,81.91,18.48,2219.21,36,7,OP059,Scheduled,PRJ059,Failed,2025-04-27
SYS0060,Once Automation,Phoenix Plant,Packaging Line,Fully Automated,PLC060,Wonderware,ABB 800xA,ABB IRB2600,Idle,96.8,34.8,642.82,84,9,OP060,In Progress,PRJ060,Failed,2025-03-22
SYS0061,Know Automation,Phoenix Plant,Line C,Semi Automated,PLC061,WinCC,Honeywell Experion,KUKA KR10,Stopped,97.62,25.01,1487.59,41,1,OP061,Scheduled,PRJ061,Failed,2024-12-11
SYS0062,Likely Automation,Houston Plant,Assembly Line,Semi Automated,PLC062,WinCC,ABB 800xA,ABB IRB2600,Running,98.99,30.17,1039.02,20,5,OP062,Scheduled,PRJ062,Failed,2025-10-13
SYS0063,Machine Automation,Chicago Plant,Line C,Fully Automated,PLC063,Wonderware,Emerson DeltaV,Yaskawa GP25,Running,86.28,22.25,1142.12,53,5,OP063,Scheduled,PRJ063,Pending,2026-06-15
SYS0064,Thus Automation,Chicago Plant,Line C,Robotic Cell,PLC064,Wonderware,Emerson DeltaV,FANUC M-20iD,Stopped,77.11,17.57,731.84,206,0,OP064,In Progress,PRJ064,Failed,2026-02-16
SYS0065,Within Automation,Chicago Plant,Line D,Fully Automated,PLC065,Ignition,Emerson DeltaV,KUKA KR10,Stopped,90.01,32.8,907.12,281,4,OP065,Scheduled,PRJ065,Pending,2026-02-25
SYS0066,Step Automation,Chicago Plant,Line A,Fully Automated,PLC066,Ignition,Emerson DeltaV,ABB IRB2600,Maintenance,88.22,26.57,686.42,58,14,OP066,Completed,PRJ066,Failed,2026-07-06
SYS0067,When Automation,Austin Plant,Line D,Robotic Cell,PLC067,FactoryTalk,Emerson DeltaV,KUKA KR10,Stopped,95.03,39.41,987.46,282,4,OP067,Scheduled,PRJ067,Passed,2024-09-14
SYS0068,They Automation,Phoenix Plant,Assembly Line,Robotic Cell,PLC068,Ignition,ABB 800xA,KUKA KR10,Stopped,83.16,33.63,1034.35,1,9,OP068,In Progress,PRJ068,Pending,2026-03-26
SYS0069,Open Automation,Phoenix Plant,Assembly Line,Robotic Cell,PLC069,Wonderware,ABB 800xA,Yaskawa GP25,Stopped,83.28,26.56,1586.86,233,10,OP069,Completed,PRJ069,Failed,2026-06-09
SYS0070,Week Automation,Austin Plant,Assembly Line,Semi Automated,PLC070,Ignition,Honeywell Experion,FANUC M-20iD,Maintenance,92.87,31.16,2122.82,197,4,OP070,Scheduled,PRJ070,Passed,2025-08-26
SYS0071,Record Automation,Austin Plant,Assembly Line,Robotic Cell,PLC071,FactoryTalk,ABB 800xA,Yaskawa GP25,Running,87.62,23.71,1944.89,209,4,OP071,Completed,PRJ071,Pending,2026-01-09
SYS0072,Use Automation,Houston Plant,Line C,Robotic Cell,PLC072,Wonderware,Emerson DeltaV,FANUC M-20iD,Maintenance,95.46,35.78,1260.02,162,15,OP072,In Progress,PRJ072,Passed,2025-02-17
SYS0073,Ok Automation,Phoenix Plant,Line A,Fully Automated,PLC073,FactoryTalk,ABB 800xA,FANUC M-20iD,Stopped,98.48,32.81,1907.78,51,14,OP073,Completed,PRJ073,Failed,2025-06-02
SYS0074,Section Automation,Houston Plant,Line A,Fully Automated,PLC074,FactoryTalk,ABB 800xA,KUKA KR10,Maintenance,84.0,14.37,1562.33,289,5,OP074,Completed,PRJ074,Passed,2025-08-15
SYS0075,Management Automation,Dallas Plant,Assembly Line,Semi Automated,PLC075,Ignition,Honeywell Experion,ABB IRB2600,Idle,86.07,17.62,1010.65,4,14,OP075,Scheduled,PRJ075,Failed,2024-11-03
SYS0076,Mrs Automation,Phoenix Plant,Line B,Fully Automated,PLC076,Wonderware,Honeywell Experion,KUKA KR10,Stopped,91.57,23.71,1104.24,196,15,OP076,Completed,PRJ076,Passed,2026-01-05
SYS0077,Consumer Automation,Chicago Plant,Assembly Line,Semi Automated,PLC077,FactoryTalk,Emerson DeltaV,KUKA KR10,Running,98.47,29.75,1048.96,289,1,OP077,In Progress,PRJ077,Failed,2025-07-08
SYS0078,Daughter Automation,Chicago Plant,Line C,Fully Automated,PLC078,FactoryTalk,ABB 800xA,ABB IRB2600,Maintenance,91.27,31.63,1818.36,70,3,OP078,In Progress,PRJ078,Failed,2025-03-15
SYS0079,Well Automation,Dallas Plant,Line C,Semi Automated,PLC079,WinCC,Emerson DeltaV,KUKA KR10,Idle,77.16,18.85,1994.96,89,6,OP079,Completed,PRJ079,Failed,2026-04-15
SYS0080,Blue Automation,Houston Plant,Assembly Line,Robotic Cell,PLC080,FactoryTalk,ABB 800xA,KUKA KR10,Stopped,98.22,18.85,2240.79,58,14,OP080,Completed,PRJ080,Passed,2026-06-09
SYS0081,Before Automation,Austin Plant,Packaging Line,Robotic Cell,PLC081,Wonderware,Emerson DeltaV,KUKA KR10,Running,93.98,10.42,1573.14,232,11,OP081,In Progress,PRJ081,Failed,2026-02-15
SYS0082,His Automation,Houston Plant,Assembly Line,Semi Automated,PLC082,FactoryTalk,ABB 800xA,ABB IRB2600,Stopped,75.6,36.53,1622.81,113,2,OP082,In Progress,PRJ082,Pending,2026-02-19
SYS0083,Receive Automation,Houston Plant,Packaging Line,Semi Automated,PLC083,WinCC,ABB 800xA,FANUC M-20iD,Running,82.3,24.78,694.38,275,4,OP083,Scheduled,PRJ083,Pending,2024-10-11
SYS0084,Focus Automation,Houston Plant,Packaging Line,Robotic Cell,PLC084,Wonderware,Emerson DeltaV,ABB IRB2600,Stopped,90.72,35.01,1731.3,143,1,OP084,In Progress,PRJ084,Pending,2025-11-04
SYS0085,Ball Automation,Austin Plant,Line D,Semi Automated,PLC085,Ignition,Honeywell Experion,FANUC M-20iD,Maintenance,88.07,39.34,1217.35,203,8,OP085,Completed,PRJ085,Passed,2025-11-21
SYS0086,Coach Automation,Chicago Plant,Line A,Robotic Cell,PLC086,Ignition,Emerson DeltaV,FANUC M-20iD,Running,93.88,17.31,751.85,289,6,OP086,Completed,PRJ086,Failed,2025-04-22
SYS0087,Support Automation,Austin Plant,Assembly Line,Fully Automated,PLC087,Ignition,Honeywell Experion,ABB IRB2600,Running,81.65,39.52,2475.05,276,8,OP087,Completed,PRJ087,Passed,2025-09-18
SYS0088,Politics Automation,Dallas Plant,Line B,Fully Automated,PLC088,FactoryTalk,ABB 800xA,KUKA KR10,Running,79.18,11.57,1983.44,269,3,OP088,In Progress,PRJ088,Passed,2025-02-12
SYS0089,First Automation,Chicago Plant,Line D,Semi Automated,PLC089,WinCC,Honeywell Experion,ABB IRB2600,Running,92.45,37.26,1817.81,154,14,OP089,In Progress,PRJ089,Passed,2025-01-18
SYS0090,Security Automation,Dallas Plant,Line D,Semi Automated,PLC090,Wonderware,Emerson DeltaV,FANUC M-20iD,Stopped,92.1,23.31,2298.53,164,4,OP090,Completed,PRJ090,Passed,2026-04-01
SYS0091,Agency Automation,Houston Plant,Assembly Line,Robotic Cell,PLC091,FactoryTalk,Honeywell Experion,KUKA KR10,Stopped,87.13,22.91,2086.19,58,6,OP091,Scheduled,PRJ091,Pending,2025-05-26
SYS0092,Wrong Automation,Austin Plant,Line D,Semi Automated,PLC092,Wonderware,Honeywell Experion,Yaskawa GP25,Running,82.5,19.38,1009.78,78,15,OP092,Completed,PRJ092,Passed,2026-05-12
SYS0093,Check Automation,Dallas Plant,Line A,Semi Automated,PLC093,WinCC,Emerson DeltaV,KUKA KR10,Idle,88.35,27.59,1623.17,168,3,OP093,Scheduled,PRJ093,Pending,2025-05-25
SYS0094,Cup Automation,Chicago Plant,Packaging Line,Fully Automated,PLC094,FactoryTalk,Emerson DeltaV,KUKA KR10,Maintenance,77.49,25.22,809.46,246,7,OP094,Completed,PRJ094,Pending,2024-12-12
SYS0095,Top Automation,Phoenix Plant,Line C,Fully Automated,PLC095,FactoryTalk,Emerson DeltaV,ABB IRB2600,Stopped,95.28,39.24,2136.85,285,0,OP095,In Progress,PRJ095,Failed,2024-10-09
SYS0096,Point Automation,Houston Plant,Line A,Fully Automated,PLC096,FactoryTalk,Emerson DeltaV,KUKA KR10,Maintenance,83.42,15.44,786.5,205,2,OP096,Completed,PRJ096,Failed,2026-04-13
SYS0097,Food Automation,Dallas Plant,Line A,Robotic Cell,PLC097,Ignition,Honeywell Experion,Yaskawa GP25,Stopped,83.18,21.1,1943.19,290,2,OP097,Completed,PRJ097,Passed,2025-09-11
SYS0098,Able Automation,Austin Plant,Assembly Line,Fully Automated,PLC098,WinCC,Honeywell Experion,Yaskawa GP25,Stopped,86.66,23.26,1046.33,262,3,OP098,Scheduled,PRJ098,Pending,2024-12-26
SYS0099,Power Automation,Dallas Plant,Line C,Robotic Cell,PLC099,Wonderware,Emerson DeltaV,KUKA KR10,Running,80.29,39.53,609.56,104,9,OP099,Completed,PRJ099,Passed,2025-06-15
SYS0100,Cold Automation,Houston Plant,Line C,Semi Automated,PLC100,WinCC,ABB 800xA,Yaskawa GP25,Stopped,79.22,21.41,1907.34,256,11,OP100,Completed,PRJ100,Pending,2025-01-15
SYS0101,Rather Automation,Dallas Plant,Line D,Fully Automated,PLC101,Wonderware,ABB 800xA,KUKA KR10,Stopped,88.76,31.28,1335.39,58,12,OP101,Completed,PRJ101,Pending,2025-11-26
SYS0102,Require Automation,Austin Plant,Assembly Line,Semi Automated,PLC102,FactoryTalk,ABB 800xA,Yaskawa GP25,Running,80.84,27.67,1547.93,202,9,OP102,In Progress,PRJ102,Pending,2025-01-12
SYS0103,Computer Automation,Austin Plant,Line C,Fully Automated,PLC103,WinCC,Emerson DeltaV,FANUC M-20iD,Idle,96.74,20.48,1954.76,75,7,OP103,Completed,PRJ103,Passed,2025-02-26
SYS0104,Huge Automation,Houston Plant,Line B,Fully Automated,PLC104,Ignition,Emerson DeltaV,FANUC M-20iD,Idle,97.83,28.84,1427.91,288,14,OP104,In Progress,PRJ104,Failed,2025-11-03
SYS0105,Contain Automation,Phoenix Plant,Line C,Robotic Cell,PLC105,FactoryTalk,ABB 800xA,Yaskawa GP25,Running,86.25,28.94,2092.66,28,11,OP105,In Progress,PRJ105,Passed,2025-10-13
SYS0106,Remain Automation,Houston Plant,Line D,Semi Automated,PLC106,WinCC,ABB 800xA,KUKA KR10,Maintenance,76.84,35.93,2210.59,259,12,OP106,Scheduled,PRJ106,Failed,2025-11-27
SYS0107,Attention Automation,Phoenix Plant,Packaging Line,Fully Automated,PLC107,Wonderware,Emerson DeltaV,ABB IRB2600,Maintenance,89.52,25.04,2415.44,230,3,OP107,Scheduled,PRJ107,Failed,2024-12-27
SYS0108,Each Automation,Dallas Plant,Assembly Line,Robotic Cell,PLC108,Ignition,ABB 800xA,ABB IRB2600,Stopped,98.78,25.72,1719.61,186,11,OP108,Scheduled,PRJ108,Pending,2026-03-08
SYS0109,Radio Automation,Chicago Plant,Line C,Robotic Cell,PLC109,WinCC,Emerson DeltaV,KUKA KR10,Running,82.91,26.74,1273.13,129,4,OP109,Scheduled,PRJ109,Passed,2025-08-26
SYS0110,Research Automation,Phoenix Plant,Packaging Line,Fully Automated,PLC110,FactoryTalk,Honeywell Experion,Yaskawa GP25,Idle,89.28,38.14,1119.16,192,10,OP110,Completed,PRJ110,Failed,2025-01-07
SYS0111,Able Automation,Phoenix Plant,Line A,Robotic Cell,PLC111,Wonderware,Emerson DeltaV,KUKA KR10,Running,83.7,15.41,928.39,248,6,OP111,Completed,PRJ111,Passed,2026-06-05
SYS0112,Today Automation,Austin Plant,Line A,Semi Automated,PLC112,WinCC,Emerson DeltaV,FANUC M-20iD,Maintenance,96.03,28.54,1694.49,78,5,OP112,Completed,PRJ112,Failed,2025-05-03
SYS0113,Story Automation,Phoenix Plant,Line B,Robotic Cell,PLC113,Wonderware,ABB 800xA,Yaskawa GP25,Maintenance,91.23,17.13,1388.4,145,14,OP113,Completed,PRJ113,Failed,2026-04-20
SYS0114,Interview Automation,Austin Plant,Line C,Semi Automated,PLC114,Ignition,Honeywell Experion,Yaskawa GP25,Stopped,93.47,33.34,1505.81,214,5,OP114,Completed,PRJ114,Failed,2024-12-14
SYS0115,Number Automation,Austin Plant,Line C,Fully Automated,PLC115,Wonderware,Honeywell Experion,FANUC M-20iD,Running,81.84,32.89,1045.58,262,4,OP115,Scheduled,PRJ115,Passed,2025-06-01
SYS0116,Quite Automation,Austin Plant,Line D,Semi Automated,PLC116,WinCC,Honeywell Experion,FANUC M-20iD,Stopped,87.05,17.07,2489.05,191,7,OP116,Completed,PRJ116,Pending,2024-12-18
SYS0117,Continue Automation,Dallas Plant,Packaging Line,Robotic Cell,PLC117,FactoryTalk,ABB 800xA,ABB IRB2600,Running,81.89,34.89,1892.14,71,15,OP117,Scheduled,PRJ117,Failed,2025-04-07
SYS0118,Put Automation,Dallas Plant,Line A,Fully Automated,PLC118,FactoryTalk,ABB 800xA,ABB IRB2600,Stopped,77.67,18.64,1102.3,24,7,OP118,Scheduled,PRJ118,Failed,2025-02-27
SYS0119,Then Automation,Phoenix Plant,Line D,Fully Automated,PLC119,WinCC,Honeywell Experion,FANUC M-20iD,Idle,92.25,18.74,503.13,180,7,OP119,In Progress,PRJ119,Pending,2025-07-27
SYS0120,Three Automation,Austin Plant,Packaging Line,Robotic Cell,PLC120,WinCC,Emerson DeltaV,KUKA KR10,Running,97.88,26.32,2072.82,259,0,OP120,Scheduled,PRJ120,Pending,2025-01-07
SYS0121,Class Automation,Dallas Plant,Packaging Line,Semi Automated,PLC121,FactoryTalk,Honeywell Experion,FANUC M-20iD,Maintenance,93.92,20.34,1965.88,53,10,OP121,Completed,PRJ121,Passed,2026-03-28
SYS0122,Store Automation,Houston Plant,Assembly Line,Semi Automated,PLC122,Ignition,Emerson DeltaV,Yaskawa GP25,Stopped,90.16,34.34,626.2,234,1,OP122,Scheduled,PRJ122,Passed,2025-07-12
SYS0123,Tough Automation,Dallas Plant,Line B,Fully Automated,PLC123,FactoryTalk,Honeywell Experion,Yaskawa GP25,Stopped,81.08,32.6,882.21,182,1,OP123,In Progress,PRJ123,Pending,2025-01-18
SYS0124,Fine Automation,Houston Plant,Line A,Semi Automated,PLC124,Wonderware,Honeywell Experion,Yaskawa GP25,Stopped,83.14,15.6,1884.14,188,8,OP124,Completed,PRJ124,Failed,2025-08-10
SYS0125,Information Automation,Chicago Plant,Line A,Semi Automated,PLC125,Ignition,Emerson DeltaV,KUKA KR10,Maintenance,77.46,19.84,1091.28,228,13,OP125,Completed,PRJ125,Failed,2024-11-06
SYS0126,Position Automation,Chicago Plant,Line C,Semi Automated,PLC126,WinCC,Emerson DeltaV,KUKA KR10,Stopped,81.59,39.4,2395.81,38,12,OP126,Scheduled,PRJ126,Failed,2025-07-17
