Order_ID,Product_ID,Product_Name,Customer,Order_Date,Due_Date,Manufacturing_Order,Transfer_Ticket,Operation,Work_Center,Production_Priority,Quantity,Completed_Qty,Pending_Qty,Production_Status,Production_Control,Forecast_Qty,Actual_Qty,Forecast_Error
ORD0025,P025,Office Chair,Best Buy,2026-01-27,2026-02-10,MO0025,TT0025,Painting,Line D,Low,371,348,23,Delayed,David,414,127,-287
ORD0026,P026,Wooden Table,Costco,2026-04-30,2026-05-15,MO0026,TT0026,Welding,Line C,Medium,191,58,133,Completed,Sophia,316,253,-63
ORD0027,P027,Filing Cabinet,Tesla,2025-08-08,2025-08-25,MO0027,TT0027,Welding,Line D,High,444,272,172,In Progress,Emily,54,227,173
ORD0028,P028,Workbench,Target,2026-06-04,2026-06-07,MO0028,TT0028,Cutting,Line C,Medium,422,114,308,Completed,Sophia,192,185,-7
ORD0029,P029,Tool Box,Tesla,2026-02-07,2026-02-15,MO0029,TT0029,Painting,Line A,Low,351,237,114,Delayed,Emily,166,389,223
ORD0030,P030,Storage Rack,Walmart,2025-07-14,2025-07-31,MO0030,TT0030,Assembly,Line A,Medium,252,20,232,Completed,John,375,266,-109
ORD0031,P031,Filing Cabinet,Apple,2025-12-05,2025-12-15,MO0031,TT0031,Quality Control,Line C,Low,87,50,37,In Progress,John,50,84,34
ORD0032,P032,Wooden Table,Target,2025-08-09,2025-08-12,MO0032,TT0032,Cutting,Line A,High,438,428,10,Delayed,John,430,106,-324
ORD0033,P033,Steel Cabinet,Dell,2026-01-21,2026-02-07,MO0033,TT0033,Painting,Line B,Medium,386,41,345,Delayed,David,327,170,-157
ORD0034,P034,Workbench,Target,2025-10-08,2025-10-12,MO0034,TT0034,Quality Control,Line A,Medium,99,37,62,In Progress,Sophia,256,84,-172
ORD0035,P035,Steel Cabinet,Samsung,2025-07-10,2025-07-16,MO0035,TT0035,Painting,Line D,High,463,261,202,In Progress,Sophia,175,58,-117
ORD0036,P036,Steel Cabinet,Amazon,2026-01-05,2026-01-16,MO0036,TT0036,Quality Control,Line C,High,59,59,0,Delayed,John,98,115,17
ORD0037,P037,Steel Cabinet,Target,2025-12-17,2025-12-22,MO0037,TT0037,Welding,Line B,High,278,275,3,In Progress,Sophia,457,337,-120
ORD0038,P038,Steel Cabinet,Samsung,2025-10-29,2025-11-02,MO0038,TT0038,Welding,Line C,High,234,169,65,Completed,John,126,303,177
ORD0039,P039,Steel Cabinet,Target,2026-06-19,2026-06-29,MO0039,TT0039,Cutting,Line D,High,109,68,41,In Progress,David,226,175,-51
ORD0040,P040,Filing Cabinet,Target,2026-01-21,2026-02-02,MO0040,TT0040,Painting,Line D,Low,311,298,13,Delayed,Emily,464,162,-302
ORD0041,P041,Metal Shelf,Amazon,2026-01-09,2026-01-23,MO0041,TT0041,Quality Control,Line A,Medium,195,93,102,In Progress,Sophia,455,375,-80
ORD0042,P042,Metal Shelf,Samsung,2026-01-05,2026-01-08,MO0042,TT0042,Quality Control,Line D,Medium,465,141,324,Completed,Michael,344,478,134
ORD0043,P043,Tool Box,Best Buy,2026-03-10,2026-03-21,MO0043,TT0043,Cutting,Line C,High,391,236,155,Completed,John,150,346,196
ORD0044,P044,Metal Shelf,Costco,2025-07-28,2025-08-01,MO0044,TT0044,Welding,Line B,Low,362,343,19,Completed,Sophia,179,241,62
ORD0045,P045,Metal Shelf,Tesla,2026-04-08,2026-04-16,MO0045,TT0045,Cutting,Line D,Low,489,243,246,Delayed,David,301,198,-103
ORD0046,P046,Office Chair,HP,2026-02-26,2026-03-03,MO0046,TT0046,Welding,Line A,Medium,368,354,14,Delayed,Sophia,413,176,-237
ORD0047,P047,Wooden Table,Tesla,2025-11-09,2025-11-24,MO0047,TT0047,Quality Control,Line A,High,301,43,258,In Progress,Sophia,331,490,159
ORD0048,P048,Filing Cabinet,Costco,2025-10-23,2025-11-11,MO0048,TT0048,Quality Control,Line A,Low,257,115,142,In Progress,David,181,241,60
ORD0049,P049,Tool Box,HP,2026-03-10,2026-03-23,MO0049,TT0049,Quality Control,Line D,High,453,20,433,Completed,Michael,102,330,228
ORD0050,P050,Computer Desk,Walmart,2026-03-14,2026-03-22,MO0050,TT0050,Painting,Line A,High,65,9,56,Delayed,Emily,353,451,98
ORD0051,P051,Workbench,Samsung,2026-02-10,2026-03-02,MO0051,TT0051,Cutting,Line D,High,147,124,23,Delayed,David,273,282,9
ORD0052,P052,Computer Desk,Walmart,2025-10-31,2025-11-04,MO0052,TT0052,Assembly,Line D,Low,182,131,51,In Progress,David,440,70,-370
ORD0053,P053,Storage Rack,Walmart,2025-08-10,2025-08-23,MO0053,TT0053,Quality Control,Line D,High,386,180,206,In Progress,John,454,496,42
ORD0054,P054,Wooden Table,Dell,2026-03-13,2026-03-25,MO0054,TT0054,Assembly,Line D,Medium,380,253,127,In Progress,David,355,123,-232
ORD0055,P055,Locker,HP,2025-11-04,2025-11-12,MO0055,TT0055,Welding,Line A,High,148,66,82,In Progress,Emily,265,286,21
ORD0056,P056,Filing Cabinet,Apple,2026-03-20,2026-03-30,MO0056,TT0056,Painting,Line B,High,156,67,89,In Progress,David,398,464,66
ORD0057,P057,Filing Cabinet,Apple,2025-10-02,2025-10-21,MO0057,TT0057,Welding,Line D,Medium,419,292,127,In Progress,John,81,493,412
ORD0058,P058,Workbench,Best Buy,2025-10-10,2025-10-25,MO0058,TT0058,Painting,Line C,High,286,73,213,Delayed,Emily,432,344,-88
ORD0059,P059,Computer Desk,Dell,2026-03-17,2026-04-03,MO0059,TT0059,Quality Control,Line C,Medium,104,23,81,Completed,David,415,406,-9
ORD0060,P060,Computer Desk,Samsung,2025-08-01,2025-08-13,MO0060,TT0060,Quality Control,Line D,Low,155,21,134,In Progress,Sophia,312,182,-130
ORD0061,P061,Computer Desk,Amazon,2025-10-24,2025-11-12,MO0061,TT0061,Painting,Line D,High,219,45,174,Completed,Emily,301,246,-55
ORD0062,P062,Filing Cabinet,Best Buy,2026-05-25,2026-06-09,MO0062,TT0062,Cutting,Line C,Low,203,149,54,Completed,Emily,386,456,70
ORD0063,P063,Workbench,Apple,2026-06-21,2026-07-03,MO0063,TT0063,Painting,Line B,Low,400,289,111,Completed,Michael,265,440,175
ORD0064,P064,Wooden Table,Costco,2025-08-03,2025-08-10,MO0064,TT0064,Cutting,Line C,Low,194,71,123,In Progress,John,483,455,-28
ORD0065,P065,Locker,Dell,2026-01-22,2026-02-11,MO0065,TT0065,Painting,Line B,Medium,324,214,110,In Progress,John,166,322,156
ORD0066,P066,Office Chair,HP,2025-08-12,2025-08-30,MO0066,TT0066,Cutting,Line C,Medium,474,403,71,Completed,Emily,304,101,-203
ORD0067,P067,Metal Shelf,Samsung,2025-09-14,2025-09-28,MO0067,TT0067,Painting,Line C,Medium,390,222,168,Completed,David,277,330,53
ORD0068,P068,Wooden Table,HP,2026-01-12,2026-01-25,MO0068,TT0068,Assembly,Line C,Medium,260,81,179,Delayed,John,368,113,-255
ORD0069,P069,Filing Cabinet,Amazon,2025-09-28,2025-10-12,MO0069,TT0069,Quality Control,Line C,High,95,72,23,Delayed,David,332,178,-154
ORD0070,P070,Computer Desk,Best Buy,2025-11-24,2025-12-12,MO0070,TT0070,Welding,Line D,Medium,386,226,160,Completed,Emily,446,245,-201
ORD0071,P071,Office Chair,HP,2026-07-02,2026-07-21,MO0071,TT0071,Painting,Line A,Medium,248,199,49,Delayed,Sophia,202,87,-115
ORD0072,P072,Storage Rack,Target,2026-06-18,2026-06-30,MO0072,TT0072,Painting,Line A,Low,280,257,23,In Progress,John,175,448,273
ORD0073,P073,Metal Shelf,Walmart,2025-11-04,2025-11-21,MO0073,TT0073,Quality Control,Line C,Low,151,75,76,In Progress,Emily,271,279,8
ORD0074,P074,Filing Cabinet,Target,2025-12-17,2026-01-04,MO0074,TT0074,Welding,Line C,High,124,100,24,Delayed,Emily,262,231,-31
ORD0075,P075,Workbench,Samsung,2025-10-25,2025-11-04,MO0075,TT0075,Painting,Line B,Low,394,264,130,In Progress,Emily,108,223,115
ORD0076,P076,Wooden Table,Best Buy,2025-09-10,2025-09-18,MO0076,TT0076,Cutting,Line B,Low,261,196,65,In Progress,John,54,127,73
ORD0077,P077,Filing Cabinet,Costco,2026-06-08,2026-06-22,MO0077,TT0077,Quality Control,Line C,Low,346,190,156,Completed,David,368,180,-188
ORD0078,P078,Steel Cabinet,Amazon,2025-08-18,2025-09-03,MO0078,TT0078,Cutting,Line B,Medium,242,90,152,Completed,John,89,213,124
ORD0079,P079,Locker,Dell,2025-07-25,2025-08-08,MO0079,TT0079,Assembly,Line B,High,468,197,271,Delayed,Emily,66,261,195
ORD0080,P080,Metal Shelf,Tesla,2026-06-18,2026-06-21,MO0080,TT0080,Painting,Line C,Medium,335,51,284,Delayed,John,410,201,-209
ORD0081,P081,Storage Rack,Apple,2025-12-27,2025-12-31,MO0081,TT0081,Painting,Line A,High,228,66,162,Delayed,David,158,62,-96
ORD0082,P082,Steel Cabinet,Best Buy,2026-06-12,2026-07-01,MO0082,TT0082,Quality Control,Line C,Medium,323,205,118,Delayed,Michael,89,261,172
ORD0083,P083,Tool Box,Walmart,2025-12-10,2025-12-14,MO0083,TT0083,Quality Control,Line D,Low,364,56,308,In Progress,Sophia,284,77,-207
ORD0084,P084,Tool Box,Amazon,2026-03-04,2026-03-11,MO0084,TT0084,Painting,Line C,Medium,125,41,84,Delayed,Emily,135,239,104
ORD0085,P085,Computer Desk,Best Buy,2026-06-13,2026-06-27,MO0085,TT0085,Cutting,Line A,Low,92,90,2,In Progress,Michael,417,56,-361
ORD0086,P086,Storage Rack,HP,2026-04-09,2026-04-25,MO0086,TT0086,Quality Control,Line C,Medium,328,295,33,Completed,David,64,54,-10
ORD0087,P087,Computer Desk,Apple,2025-07-03,2025-07-17,MO0087,TT0087,Painting,Line B,Medium,162,13,149,Delayed,Sophia,433,252,-181
ORD0088,P088,Office Chair,Dell,2026-05-31,2026-06-04,MO0088,TT0088,Welding,Line B,High,203,176,27,Delayed,Emily,223,312,89
ORD0089,P089,Tool Box,Amazon,2025-11-26,2025-12-02,MO0089,TT0089,Assembly,Line A,Medium,426,142,284,Completed,David,451,228,-223
ORD0090,P090,Storage Rack,Best Buy,2025-09-23,2025-10-13,MO0090,TT0090,Quality Control,Line B,Low,465,153,312,In Progress,Michael,168,281,113
ORD0091,P091,Metal Shelf,Tesla,2026-03-29,2026-04-17,MO0091,TT0091,Cutting,Line D,Low,383,314,69,Delayed,John,395,86,-309
ORD0092,P092,Filing Cabinet,Tesla,2025-09-25,2025-09-29,MO0092,TT0092,Quality Control,Line A,Low,102,19,83,Completed,Michael,126,186,60
ORD0093,P093,Storage Rack,Dell,2026-01-26,2026-02-03,MO0093,TT0093,Quality Control,Line D,High,330,264,66,Delayed,Sophia,346,173,-173
ORD0094,P094,Tool Box,HP,2025-10-06,2025-10-24,MO0094,TT0094,Quality Control,Line C,Medium,500,180,320,Completed,Emily,488,231,-257
ORD0095,P095,Locker,Amazon,2025-08-16,2025-08-21,MO0095,TT0095,Cutting,Line B,Low,381,149,232,Completed,Michael,390,459,69
ORD0096,P096,Steel Cabinet,HP,2025-11-05,2025-11-09,MO0096,TT0096,Assembly,Line B,Low,411,410,1,In Progress,David,167,258,91
ORD0097,P097,Computer Desk,Dell,2026-04-07,2026-04-12,MO0097,TT0097,Quality Control,Line C,Low,133,132,1,Delayed,Sophia,285,460,175
ORD0098,P098,Locker,Tesla,2025-12-29,2026-01-11,MO0098,TT0098,Assembly,Line C,Medium,417,168,249,In Progress,Sophia,423,376,-47
ORD0099,P099,Filing Cabinet,Costco,2025-07-20,2025-08-06,MO0099,TT0099,Assembly,Line A,Low,293,86,207,In Progress,Emily,219,188,-31
ORD0100,P100,Locker,Walmart,2026-04-17,2026-05-01,MO0100,TT0100,Welding,Line B,Medium,471,67,404,In Progress,Sophia,484,173,-311
ORD0101,P101,Storage Rack,Dell,2026-03-19,2026-04-03,MO0101,TT0101,Painting,Line D,Medium,446,144,302,In Progress,Sophia,131,152,21
ORD0102,P102,Office Chair,Target,2025-11-27,2025-12-14,MO0102,TT0102,Welding,Line A,High,477,10,467,Completed,Emily,480,279,-201
ORD0103,P103,Metal Shelf,Samsung,2025-11-14,2025-11-28,MO0103,TT0103,Quality Control,Line D,High,64,12,52,In Progress,Emily,97,202,105
ORD0104,P104,Filing Cabinet,Costco,2026-04-22,2026-05-09,MO0104,TT0104,Quality Control,Line D,High,96,78,18,Delayed,Michael,94,363,269
ORD0105,P105,Tool Box,Apple,2026-01-10,2026-01-19,MO0105,TT0105,Welding,Line D,Medium,102,9,93,Delayed,John,400,407,7
ORD0106,P106,Tool Box,Amazon,2026-03-14,2026-03-29,MO0106,TT0106,Painting,Line D,Low,104,100,4,Delayed,John,194,105,-89
ORD0107,P107,Computer Desk,Best Buy,2026-04-02,2026-04-11,MO0107,TT0107,Cutting,Line A,Low,283,197,86,Delayed,Michael,149,135,-14
ORD0108,P108,Locker,Amazon,2026-06-13,2026-06-23,MO0108,TT0108,Welding,Line A,Medium,317,138,179,In Progress,Emily,295,459,164
ORD0109,P109,Steel Cabinet,Dell,2026-05-16,2026-06-01,MO0109,TT0109,Cutting,Line D,High,383,238,145,Delayed,John,157,206,49
ORD0110,P110,Storage Rack,Tesla,2026-04-11,2026-04-24,MO0110,TT0110,Assembly,Line B,Low,141,93,48,Delayed,Michael,179,308,129
ORD0111,P111,Metal Shelf,Costco,2025-10-31,2025-11-16,MO0111,TT0111,Cutting,Line B,Medium,194,73,121,In Progress,Sophia,493,256,-237
ORD0112,P112,Office Chair,Apple,2025-09-03,2025-09-18,MO0112,TT0112,Cutting,Line A,Low,486,103,383,In Progress,John,367,387,20
ORD0113,P113,Steel Cabinet,Costco,2025-10-16,2025-10-22,MO0113,TT0113,Painting,Line A,Medium,443,75,368,Completed,Emily,348,131,-217
ORD0114,P114,Wooden Table,HP,2025-09-07,2025-09-15,MO0114,TT0114,Cutting,Line B,Low,246,118,128,Completed,Michael,237,190,-47
ORD0115,P115,Office Chair,Amazon,2025-11-24,2025-12-10,MO0115,TT0115,Welding,Line A,High,102,92,10,In Progress,Michael,458,489,31
ORD0116,P116,Steel Cabinet,Tesla,2025-08-23,2025-09-09,MO0116,TT0116,Welding,Line B,Medium,227,115,112,Completed,John,89,476,387
ORD0117,P117,Filing Cabinet,Costco,2025-11-30,2025-12-07,MO0117,TT0117,Assembly,Line D,Low,74,1,73,Completed,Emily,384,190,-194
ORD0118,P118,Tool Box,Apple,2025-11-17,2025-12-02,MO0118,TT0118,Welding,Line A,High,273,56,217,In Progress,John,335,350,15
ORD0119,P119,Workbench,Best Buy,2025-09-13,2025-09-17,MO0119,TT0119,Quality Control,Line C,Low,333,119,214,Completed,David,116,146,30
ORD0120,P120,Storage Rack,Walmart,2026-05-30,2026-06-09,MO0120,TT0120,Cutting,Line D,High,126,108,18,In Progress,John,434,300,-134
ORD0121,P121,Steel Cabinet,Amazon,2025-09-10,2025-09-29,MO0121,TT0121,Painting,Line B,High,278,202,76,Delayed,Sophia,163,490,327
ORD0122,P122,Wooden Table,Tesla,2026-03-16,2026-03-19,MO0122,TT0122,Assembly,Line C,Medium,446,368,78,In Progress,Sophia,79,247,168
ORD0123,P123,Storage Rack,Dell,2026-05-20,2026-06-02,MO0123,TT0123,Quality Control,Line B,Low,235,175,60,Delayed,Emily,362,415,53
ORD0124,P124,Office Chair,Walmart,2025-08-10,2025-08-24,MO0124,TT0124,Cutting,Line D,Medium,78,56,22,In Progress,David,457,241,-216
ORD0125,P125,Computer Desk,Walmart,2026-06-09,2026-06-14,MO0125,TT0125,Welding,Line D,High,500,374,126,Completed,John,65,379,314
ORD0126,P126,Storage Rack,Dell,2026-01-06,2026-01-21,MO0126,TT0126,Painting,Line C,Medium,238,24,214,In Progress,Emily,465,106,-359
ORD0127,P127,Filing Cabinet,Dell,2026-03-06,2026-03-09,MO0127,TT0127,Welding,Line B,Medium,247,21,226,Completed,David,139,427,288
ORD0128,P128,Locker,Apple,2026-05-11,2026-05-18,MO0128,TT0128,Assembly,Line C,Low,404,18,386,Delayed,David,386,146,-240
ORD0129,P129,Office Chair,Best Buy,2025-09-04,2025-09-13,MO0129,TT0129,Assembly,Line A,High,157,58,99,In Progress,David,337,142,-195
ORD0130,P130,Computer Desk,Dell,2025-11-28,2025-12-17,MO0130,TT0130,Painting,Line C,High,118,30,88,In Progress,Sophia,217,379,162
ORD0131,P131,Filing Cabinet,Walmart,2025-07-08,2025-07-27,MO0131,TT0131,Quality Control,Line D,High,263,258,5,Completed,Sophia,291,424,133
ORD0132,P132,Workbench,Best Buy,2025-10-03,2025-10-20,MO0132,TT0132,Cutting,Line A,Low,479,83,396,Completed,John,307,193,-114
ORD0133,P133,Wooden Table,Dell,2025-08-12,2025-08-30,MO0133,TT0133,Assembly,Line D,Medium,420,222,198,In Progress,Michael,271,254,-17
ORD0134,P134,Office Chair,HP,2026-04-26,2026-05-03,MO0134,TT0134,Painting,Line B,Medium,364,194,170,Delayed,John,405,306,-99
ORD0135,P135,Tool Box,Tesla,2025-11-14,2025-12-02,MO0135,TT0135,Cutting,Line B,Low,80,39,41,In Progress,Michael,421,162,-259
ORD0136,P136,Wooden Table,Apple,2026-05-30,2026-06-10,MO0136,TT0136,Welding,Line B,Medium,330,174,156,In Progress,John,77,102,25
ORD0137,P137,Filing Cabinet,Best Buy,2026-06-03,2026-06-21,MO0137,TT0137,Cutting,Line A,Medium,199,92,107,In Progress,Emily,423,77,-346
ORD0138,P138,Storage Rack,Dell,2026-01-15,2026-01-26,MO0138,TT0138,Welding,Line B,Low,256,216,40,Completed,John,396,123,-273
ORD0139,P139,Steel Cabinet,Apple,2025-09-20,2025-10-08,MO0139,TT0139,Welding,Line D,Medium,237,39,198,Completed,Michael,110,465,355
ORD0140,P140,Wooden Table,Costco,2025-07-20,2025-08-07,MO0140,TT0140,Welding,Line D,High,65,59,6,Completed,Sophia,371,118,-253
ORD0141,P141,Storage Rack,Tesla,2025-09-13,2025-10-02,MO0141,TT0141,Cutting,Line D,Low,167,132,35,In Progress,Emily,250,267,17
ORD0142,P142,Steel Cabinet,Apple,2026-03-17,2026-04-06,MO0142,TT0142,Assembly,Line D,Medium,210,174,36,Delayed,Sophia,284,411,127
ORD0143,P143,Workbench,Samsung,2026-04-27,2026-05-04,MO0143,TT0143,Cutting,Line D,High,379,269,110,Delayed,John,271,304,33
ORD0144,P144,Steel Cabinet,Target,2025-09-15,2025-10-02,MO0144,TT0144,Assembly,Line B,Low,273,192,81,Completed,Emily,371,217,-154
ORD0145,P145,Tool Box,Apple,2026-06-27,2026-07-08,MO0145,TT0145,Quality Control,Line A,Low,247,208,39,Delayed,Michael,314,404,90
ORD0146,P146,Filing Cabinet,HP,2025-08-07,2025-08-10,MO0146,TT0146,Welding,Line A,Medium,465,205,260,Delayed,David,67,206,139
ORD0147,P147,Computer Desk,Amazon,2025-08-07,2025-08-23,MO0147,TT0147,Painting,Line A,Medium,120,105,15,Delayed,Sophia,313,399,86
ORD0148,P148,Steel Cabinet,Tesla,2025-12-03,2025-12-12,MO0148,TT0148,Cutting,Line D,Medium,209,5,204,Completed,David,161,276,115
ORD0149,P149,Steel Cabinet,Best Buy,2026-06-26,2026-07-02,MO0149,TT0149,Painting,Line D,Low,70,52,18,Completed,Michael,440,272,-168
ORD0150,P150,Office Chair,Samsung,2025-10-09,2025-10-18,MO0150,TT0150,Painting,Line C,High,339,81,258,Delayed,Emily,147,210,63
ORD0151,P151,Office Chair,Tesla,2025-10-03,2025-10-06,MO0151,TT0151,Cutting,Line D,Low,458,400,58,In Progress,David,494,334,-160
ORD0152,P152,Storage Rack,Apple,2026-02-16,2026-02-27,MO0152,TT0152,Cutting,Line D,Low,190,178,12,Delayed,Emily,152,498,346
ORD0153,P153,Office Chair,Amazon,2025-09-21,2025-09-27,MO0153,TT0153,Quality Control,Line D,High,365,66,299,Completed,Emily,91,305,214
ORD0154,P154,Storage Rack,Dell,2025-07-07,2025-07-24,MO0154,TT0154,Welding,Line D,High,407,10,397,In Progress,Michael,376,86,-290
ORD0155,P155,Tool Box,Costco,2025-07-19,2025-07-23,MO0155,TT0155,Assembly,Line B,Medium,53,44,9,In Progress,Michael,76,161,85
ORD0156,P156,Computer Desk,Amazon,2026-06-11,2026-06-24,MO0156,TT0156,Welding,Line B,High,186,10,176,Completed,Sophia,324,304,-20
ORD0157,P157,Steel Cabinet,Tesla,2026-06-02,2026-06-05,MO0157,TT0157,Assembly,Line B,Low,485,375,110,Completed,Emily,307,222,-85
ORD0158,P158,Office Chair,Amazon,2026-01-30,2026-02-13,MO0158,TT0158,Quality Control,Line D,Low,199,24,175,In Progress,David,82,452,370
ORD0159,P159,Steel Cabinet,Apple,2026-03-07,2026-03-10,MO0159,TT0159,Cutting,Line A,High,448,69,379,In Progress,Sophia,412,375,-37
ORD0160,P160,Steel Cabinet,Tesla,2026-03-22,2026-04-09,MO0160,TT0160,Welding,Line A,High,487,106,381,In Progress,David,347,331,-16
ORD0161,P161,Filing Cabinet,Walmart,2025-08-20,2025-08-31,MO0161,TT0161,Painting,Line A,Low,181,37,144,Completed,Michael,310,491,181
ORD0162,P162,Locker,Costco,2026-05-28,2026-06-06,MO0162,TT0162,Cutting,Line C,Low,346,334,12,Delayed,Emily,417,111,-306
ORD0163,P163,Tool Box,Target,2025-12-24,2026-01-03,MO0163,TT0163,Painting,Line B,Medium,320,309,11,In Progress,Michael,323,70,-253
ORD0164,P164,Storage Rack,Tesla,2026-03-16,2026-03-25,MO0164,TT0164,Cutting,Line C,High,363,241,122,Completed,Sophia,436,69,-367
ORD0165,P165,Steel Cabinet,Amazon,2026-01-18,2026-01-31,MO0165,TT0165,Painting,Line C,Medium,438,305,133,In Progress,John,443,326,-117
ORD0166,P166,Locker,Target,2025-11-18,2025-11-29,MO0166,TT0166,Assembly,Line D,Low,443,37,406,Delayed,Sophia,387,434,47
ORD0167,P167,Tool Box,Tesla,2026-06-02,2026-06-20,MO0167,TT0167,Assembly,Line C,Low,219,156,63,Completed,Emily,67,330,263
ORD0168,P168,Metal Shelf,Samsung,2025-08-12,2025-08-23,MO0168,TT0168,Welding,Line D,High,55,34,21,Delayed,David,332,181,-151
ORD0169,P169,Steel Cabinet,Samsung,2026-03-21,2026-04-01,MO0169,TT0169,Assembly,Line D,Low,458,250,208,Completed,Michael,157,283,126
ORD0170,P170,Workbench,Walmart,2025-09-27,2025-10-02,MO0170,TT0170,Welding,Line C,Medium,456,5,451,Completed,John,159,472,313
ORD0171,P171,Computer Desk,Best Buy,2025-08-10,2025-08-26,MO0171,TT0171,Assembly,Line B,Medium,263,157,106,Delayed,David,414,374,-40
ORD0172,P172,Wooden Table,Samsung,2026-01-25,2026-02-09,MO0172,TT0172,Cutting,Line B,Low,458,177,281,Completed,John,290,377,87
ORD0173,P173,Computer Desk,Dell,2026-02-19,2026-03-03,MO0173,TT0173,Welding,Line A,Medium,476,83,393,Delayed,John,347,467,120
ORD0174,P174,Tool Box,HP,2025-10-25,2025-11-10,MO0174,TT0174,Assembly,Line B,Medium,431,72,359,In Progress,Emily,282,483,201
ORD0175,P175,Tool Box,Costco,2025-12-17,2026-01-02,MO0175,TT0175,Painting,Line C,Low,306,285,21,Delayed,John,160,489,329
ORD0176,P176,Wooden Table,Best Buy,2025-07-28,2025-08-10,MO0176,TT0176,Cutting,Line C,Low,473,164,309,Delayed,Emily,358,144,-214
ORD0177,P177,Steel Cabinet,Samsung,2025-11-15,2025-11-26,MO0177,TT0177,Quality Control,Line C,High,191,73,118,Completed,David,185,187,2
ORD0178,P178,Tool Box,Best Buy,2026-01-24,2026-02-09,MO0178,TT0178,Quality Control,Line A,High,151,97,54,In Progress,Emily,111,290,179
